Source,Target,Weight,Type
AA,CH,24,undirected
AA,CO,44,undirected
AA,CU,51,undirected
AA,IT,22,undirected
AA,MX,36,undirected
AA,NL,35,undirected
AA,PM,29,undirected
AA,SN,33,undirected
AA,SP,69,undirected
AA,US,133,undirected
AA,VE,21,undirected
AC,BB,37,undirected
AC,GJ,30,undirected
AC,IN,18,undirected
AC,JM,21,undirected
AC,MX,19,undirected
AC,PM,22,undirected
AC,TD,23,undirected
AC,UK,18,undirected
AC,US,74,undirected
AE,AF,115,undirected
AE,AG,63,undirected
AE,AO,58,undirected
AE,AR,40,undirected
AE,AS,1642,undirected
AE,AU,487,undirected
AE,BA,284,undirected
AE,BE,130,undirected
AE,BF,71,undirected
AE,BG,95,undirected
AE,BO,16,undirected
AE,BR,170,undirected
AE,BU,16,undirected
AE,BX,29,undirected
AE,CA,1002,undirected
AE,CB,35,undirected
AE,CD,16,undirected
AE,CE,68,undirected
AE,CF,17,undirected
AE,CH,4098,undirected
AE,CI,74,undirected
AE,CM,23,undirected
AE,CO,43,undirected
AE,CU,22,undirected
AE,DA,61,undirected
AE,DJ,56,undirected
AE,EC,20,undirected
AE,EG,477,undirected
AE,EI,400,undirected
AE,EN,37,undirected
AE,ET,82,undirected
AE,EZ,22,undirected
AE,FI,24,undirected
AE,FR,563,undirected
AE,GB,16,undirected
AE,GG,31,undirected
AE,GH,49,undirected
AE,GM,417,undirected
AE,GR,75,undirected
AE,HK,152,undirected
AE,HR,24,undirected
AE,HU,18,undirected
AE,ID,176,undirected
AE,IN,2259,undirected
AE,IR,644,undirected
AE,IS,168,undirected
AE,IT,241,undirected
AE,IZ,617,undirected
AE,JA,1261,undirected
AE,JO,204,undirected
AE,KE,87,undirected
AE,KN,99,undirected
AE,KS,205,undirected
AE,KU,629,undirected
AE,KZ,50,undirected
AE,LE,104,undirected
AE,LG,22,undirected
AE,LH,37,undirected
AE,LU,25,undirected
AE,LY,187,undirected
AE,MC,18,undirected
AE,ML,21,undirected
AE,MN,17,undirected
AE,MO,50,undirected
AE,MU,205,undirected
AE,MV,23,undirected
AE,MX,194,undirected
AE,MY,158,undirected
AE,MZ,24,undirected
AE,NI,470,undirected
AE,NL,1422,undirected
AE,NO,86,undirected
AE,NP,19,undirected
AE,NZ,111,undirected
AE,OS,32,undirected
AE,PE,27,undirected
AE,PK,398,undirected
AE,PL,53,undirected
AE,PM,41,undirected
AE,PO,62,undirected
AE,QA,937,undirected
AE,RI,40,undirected
AE,RO,20,undirected
AE,RP,194,undirected
AE,RS,1179,undirected
AE,SA,2168,undirected
AE,SE,36,undirected
AE,SF,397,undirected
AE,SG,274,undirected
AE,SL,17,undirected
AE,SN,343,undirected
